protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
3,High_Quality,BeforeSplit,GenAugSpoofOnly,0.3,17348.0,5776.833333333333,5.166666666666667,130.0,0.007437921959034167,0.00089357777009105,0.004165749864562617,0.0073886663035093,0.9958342501354375,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.05,19181.166666666668,15750.833333333334,159.16666666666666,192.83333333333334,0.009953201885688667,0.010004190236748317,0.009978696061218517,0.010771370250277384,0.9900213039387814,90.0,89.0,1.0,0.0,0.0,0.0111111111111111,0.005555555555555518,0.010949195731804367,0.9944444444444444,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.1,19146.5,15747.0,163.0,227.5,0.0117425415505316,0.010245128849779966,0.010993835200155783,0.01199430461462825,0.9890061647998442,90.0,88.83333333333333,1.1666666666666667,0.0,0.0,0.012962962962962949,0.00648148148148145,0.01274088230609965,0.9935185185185184,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.2,19155.666666666668,15733.833333333334,176.16666666666666,218.33333333333334,0.011269398850693316,0.011072700607584285,0.0111710497291388,0.0117197697426855,0.9888289502708613,90.0,88.83333333333333,1.1666666666666667,0.0,0.0,0.012962962962962949,0.006481481481481433,0.012780697563306182,0.9935185185185184,1.5,1.0
4,Warped_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.3,19155.666666666668,15743.0,167.0,218.33333333333334,0.011269398850693316,0.010496543054682549,0.010882970952687934,0.01149290300901225,0.989117029047312,90.0,89.0,1.0,0.0,0.0,0.0111111111111111,0.0055555555555555,0.0109890109890109,0.9944444444444444,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.05,14684.666666666666,15739.0,171.0,161.33333333333334,0.010867124702501183,0.010747957259585118,0.010807540981043149,0.011815993059127434,0.9891924590189567,89.33333333333333,89.0,1.0,0.6666666666666666,0.0074074074074074,0.0111111111111111,0.009259259259259233,0.011070411070411033,0.9907407407407406,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.1,14690.833333333334,15732.666666666666,177.33333333333334,155.16666666666666,0.01045174906821135,0.011146029750680882,0.0107988894094461,0.011179275869572432,0.9892011105905537,89.16666666666667,89.0,1.0,0.8333333333333334,0.00925925925925925,0.0111111111111111,0.010185185185185167,0.011090761090761065,0.9898148148148147,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.2,14700.166666666666,15729.666666666666,180.33333333333334,145.83333333333334,0.009823072432529468,0.011334590404357801,0.01057883141844365,0.011316898754726001,0.9894211685815563,89.66666666666667,89.0,1.0,0.3333333333333333,0.0037037037037037,0.0111111111111111,0.007407407407407366,0.011029711029710967,0.9925925925925925,1.5,1.0
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly,0.3,14697.833333333334,15731.166666666666,178.83333333333334,148.16666666666666,0.00998024159144995,0.011240310077519316,0.010610275834484631,0.0112960873888337,0.9893897241655153,89.33333333333333,89.0,1.0,0.6666666666666666,0.0074074074074074,0.0111111111111111,0.009259259259259233,0.011070411070411033,0.9907407407407406,1.5,1.0
6,Video_Replay_Attack,BeforeSplit,GenAugSpoofOnly,0.05,15455.0,15585.833333333334,324.1666666666667,212.0,0.0135316269866598,0.020375026188979618,0.016953326587819718,0.020236507775431168,0.9830466734121801,89.16666666666667,88.0,2.0,0.8333333333333334,0.00925925925925925,0.0222222222222222,0.015740740740740684,0.02193820672081535,0.9842592592592593,1.5,1.0
6,Video_Replay_Attack,BeforeSplit,GenAugSpoofOnly,0.1,15464.333333333334,15569.0,341.0,202.66666666666666,0.0129358949809578,0.02143306096794465,0.017184477974451235,0.021251913352730467,0.9828155220255487,89.33333333333333,88.0,2.0,0.6666666666666666,0.0074074074074074,0.0222222222222222,0.014814814814814767,0.021898391463608797,0.9851851851851853,1.5,1.0
