,Multi_protocol_number,Multi_fold_number,Multi_protocol,Multi_TN,Multi_TP,Multi_FN,Multi_FP,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_EER_Thresh,Multi_AUC,when_aug_performed,aug_type,window_size,config/HP_AUG_PER,config/HP_REPEAT,protocol_number,protocol,fold_number
58,6,1,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,6,Video_Replay_Attack,1
59,6,0,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,6,Video_Replay_Attack,0
60,1,2,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.1,1,1,Low_Quality,2
61,1,1,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.1,1,1,Low_Quality,1
62,1,0,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.1,1,1,Low_Quality,0
63,5,2,Cut_Photo_Attack,89,89,1,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,1.0,0.9888888888888889,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,5,Cut_Photo_Attack,2
64,5,1,Cut_Photo_Attack,89,89,1,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,1.0,0.9888888888888889,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,5,Cut_Photo_Attack,1
65,5,0,Cut_Photo_Attack,89,89,1,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,1.0,0.9888888888888889,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,5,Cut_Photo_Attack,0
66,2,2,Normal_Quality,28,89,1,2,0.011111111111111112,0.06666666666666667,0.03888888888888889,0.06315789473684211,1.0526315789473684,0.9611111111111111,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,2,Normal_Quality,2
67,2,1,Normal_Quality,28,88,2,2,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.06382978723404256,1.0425531914893615,0.9555555555555556,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,2,Normal_Quality,1
68,2,0,Normal_Quality,28,88,2,2,0.022222222222222223,0.06666666666666667,0.044444444444444446,0.06382978723404256,1.0425531914893615,0.9555555555555556,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,2,Normal_Quality,0
69,4,2,Warped_Photo_Attack,88,90,0,2,0.0,0.022222222222222223,0.011111111111111112,0.021739130434782608,1.0217391304347827,0.9888888888888888,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,4,Warped_Photo_Attack,2
70,4,1,Warped_Photo_Attack,88,89,1,2,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,1.010989010989011,0.9833333333333334,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,4,Warped_Photo_Attack,1
71,4,0,Warped_Photo_Attack,88,90,0,2,0.0,0.022222222222222223,0.011111111111111112,0.021739130434782608,1.0217391304347827,0.9888888888888888,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,4,Warped_Photo_Attack,0
72,7,2,All_Categories,88,268,2,2,0.007407407407407408,0.022222222222222223,0.014814814814814815,0.021897810218978103,1.0145985401459854,0.985185185185185,AfterSplit,GenAugSpoofOnly_KF,10,0.2,2,7,All_Categories,2
73,7,1,All_Categories,88,269,1,2,0.003703703703703704,0.022222222222222223,0.012962962962962964,0.02181818181818182,1.018181818181818,0.9870370370370372,AfterSplit,GenAugSpoofOnly_KF,10,0.2,2,7,All_Categories,1
74,7,0,All_Categories,88,269,1,2,0.003703703703703704,0.022222222222222223,0.012962962962962964,0.02181818181818182,1.018181818181818,0.9870370370370372,AfterSplit,GenAugSpoofOnly_KF,10,0.2,2,7,All_Categories,0
75,3,2,High_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,3,High_Quality,2
76,3,1,High_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,3,High_Quality,1
77,3,0,High_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,3,High_Quality,0
78,3,2,High_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,3,High_Quality,2
79,3,1,High_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,3,High_Quality,1
80,3,0,High_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.1,2,3,High_Quality,0
81,5,2,Cut_Photo_Attack,88,89,1,2,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,1.010989010989011,0.9833333333333334,AfterSplit,GenAugSpoofOnly_KF,10,0.3,2,5,Cut_Photo_Attack,2
82,5,1,Cut_Photo_Attack,88,89,1,2,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,1.010989010989011,0.9833333333333334,AfterSplit,GenAugSpoofOnly_KF,10,0.3,2,5,Cut_Photo_Attack,1
83,5,0,Cut_Photo_Attack,88,90,0,2,0.0,0.022222222222222223,0.011111111111111112,0.021739130434782608,1.0217391304347827,0.9888888888888888,AfterSplit,GenAugSpoofOnly_KF,10,0.3,2,5,Cut_Photo_Attack,0
84,4,2,Warped_Photo_Attack,88,90,0,2,0.0,0.022222222222222223,0.011111111111111112,0.021739130434782608,1.0217391304347827,0.9888888888888888,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,4,Warped_Photo_Attack,2
85,4,1,Warped_Photo_Attack,88,88,2,2,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.02222222222222557,0.9999999999999966,0.9777777777777777,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,4,Warped_Photo_Attack,1
86,4,0,Warped_Photo_Attack,88,89,1,2,0.011111111111111112,0.022222222222222223,0.016666666666666666,0.02197802197802198,1.010989010989011,0.9833333333333334,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,4,Warped_Photo_Attack,0
87,3,2,High_Quality,30,89,1,0,0.011111111111111112,0.0,0.005555555555555556,0.01098901098901095,0.989010989010989,0.9944444444444445,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,3,High_Quality,2
88,3,1,High_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,3,High_Quality,1
89,3,0,High_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,3,High_Quality,0
90,4,2,Warped_Photo_Attack,89,89,1,1,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,1.0,0.9888888888888889,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,4,Warped_Photo_Attack,2
91,4,1,Warped_Photo_Attack,88,90,0,2,0.0,0.022222222222222223,0.011111111111111112,0.021739130434782608,1.0217391304347827,0.9888888888888888,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,4,Warped_Photo_Attack,1
92,4,0,Warped_Photo_Attack,88,90,0,2,0.0,0.022222222222222223,0.011111111111111112,0.021739130434782608,1.0217391304347827,0.9888888888888888,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,4,Warped_Photo_Attack,0
93,1,2,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,1,Low_Quality,2
94,1,1,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,1,Low_Quality,1
95,1,0,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.05,2,1,Low_Quality,0
96,6,2,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,6,Video_Replay_Attack,2
97,6,1,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,6,Video_Replay_Attack,1
98,6,0,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.2,1,6,Video_Replay_Attack,0
99,1,2,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,1,Low_Quality,2
100,1,1,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,1,Low_Quality,1
101,1,0,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,1,Low_Quality,0
102,6,2,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,6,Video_Replay_Attack,2
103,6,1,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,6,Video_Replay_Attack,1
104,6,0,Video_Replay_Attack,86,90,0,4,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,1.0425531914893618,0.9777777777777779,AfterSplit,GenAugSpoofOnly_KF,10,0.3,1,6,Video_Replay_Attack,0
105,1,2,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,1,Low_Quality,2
106,1,1,Low_Quality,30,90,0,0,0.0,0.0,0.0,0.0,1.0,1.0,AfterSplit,GenAugSpoofOnly_KF,10,0.05,1,1,Low_Quality,1
