protocol_number,protocol,config/HP_AUG_PER,aug_type,when_aug_performed,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
1,Low_Quality,0.2,GenAugSpoofOnly,BeforeSplit,16142.5,4771.666666666666,58.33333333333333,13.5,0.0008356028719979583,0.012077294685990302,0.0064564487789941245,0.011941064991207083,0.9935435512210058,90.0,29.916666666666664,0.08333333333333333,0.0,0.0,0.002777777777777775,0.0013888888888888833,0.00268817204301075,0.9986111111111111,1.5,1.0
1,Low_Quality,0.2,TradAugSpoofOnly,AfterSplit,16147.0,4750.666666666667,79.33333333333333,9.0,0.0005570685813319833,0.016425120772946833,0.008491094677139384,0.0161593682468635,0.9915089053228607,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.2,TradAugSpoofOnly,BeforeSplit,16143.333333333334,4750.166666666667,79.83333333333333,12.666666666666666,0.0007840224478005501,0.016528640441683867,0.008656331444742217,0.016269765398369867,0.9913436685552578,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.3,GenAugSpoofOnly,AfterSplit,16144.0,4757.083333333334,72.91666666666666,12.0,0.0007427581084426334,0.015096618357487867,0.007919688232965242,0.014879241587319299,0.9920803117670347,90.0,29.75,0.25,0.0,0.0,0.008333333333333325,0.00416666666666665,0.00806451612903225,0.9958333333333333,1.5,1.0
1,Low_Quality,0.3,GenAugSpoofOnly,BeforeSplit,16144.416666666668,4765.083333333334,64.91666666666667,11.583333333333332,0.0007169678963439167,0.013440303657694917,0.007078635777019417,0.01326806639244828,0.9929213642229806,90.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.3,TradAugSpoofOnly,AfterSplit,16147.333333333334,4749.166666666667,80.83333333333333,8.666666666666666,0.0005364364116530333,0.016735679779158016,0.0086360580954055,0.016462233652253414,0.9913639419045944,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
1,Low_Quality,0.3,TradAugSpoofOnly,BeforeSplit,16148.166666666666,4746.166666666667,83.83333333333333,7.833333333333333,0.00048485598745561664,0.017356797791580367,0.008920826889517968,0.0170660957880661,0.991079173110482,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,Normal_Quality,0.0,Baseline,None,15930.333333333334,4995.0,303.0,322.6666666666667,0.019852745134231565,0.05719139297848239,0.03852206905635699,0.05513265032669725,0.961477930943643,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,0.05,GenAugSpoofOnly,AfterSplit,15936.833333333332,4996.166666666667,301.8333333333333,316.16666666666663,0.01945281896675479,0.05697118409462687,0.038212001530690834,0.05490824036721209,0.9617879984693091,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
2,Normal_Quality,0.05,GenAugSpoofOnly,BeforeSplit,15960.583333333332,4993.583333333334,304.41666666666663,292.41666666666663,0.01799155027789738,0.057458789480306985,0.03772516987910218,0.05527581788000625,0.9622748301208979,89.0,28.0,2.0,1.0,0.0111111111111111,0.0666666666666666,0.0388888888888888,0.0631578947368421,0.9611111111111112,1.5,1.0
