protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly_KF,0.1,89.0,89.0,1.0,1.0,0.011111111111111112,0.011111111111111112,0.011111111111111112,0.011111111111111153,0.9888888888888889
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly_KF,0.2,88.66666666666667,88.66666666666667,1.3333333333333333,1.3333333333333333,0.014814814814814815,0.014814814814814815,0.014814814814814815,0.018355718355719673,0.9851851851851853
5,Cut_Photo_Attack,BeforeSplit,GenAugSpoofOnly_KF,0.3,89.0,88.5,1.5,1.0,0.011111111111111112,0.016666666666666666,0.01388888888888889,0.016544566544566566,0.9861111111111112
5,Cut_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.05,89.0,88.5,1.5,1.0,0.011111111111111112,0.016666666666666666,0.013888888888888888,0.016544566544566566,0.9861111111111112
5,Cut_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.1,89.33333333333333,88.16666666666667,1.8333333333333333,0.6666666666666666,0.007407407407407408,0.020370370370370372,0.013888888888888888,0.02008723965245705,0.9861111111111112
5,Cut_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.2,89.5,88.0,2.0,0.5,0.005555555555555556,0.022222222222222223,0.013888888888888888,0.021858576206402292,0.9861111111111112
5,Cut_Photo_Attack,BeforeSplit,TradAugSpoofOnly,0.3,89.83333333333333,88.0,2.0,0.16666666666666666,0.001851851851851852,0.022222222222222223,0.012037037037037039,0.02177894569198917,0.9879629629629628
5,Cut_Photo_Attack,None,Baseline,0,88.83333333333333,89.0,1.0,1.1666666666666667,0.012962962962962963,0.011111111111111112,0.012037037037037039,0.012922262922263608,0.987962962962963
6,Video_Replay_Attack,AfterSplit,GenAugSpoofOnly,0.05,89.66666666666667,86.0,4.0,0.3333333333333333,0.003703703703703704,0.044444444444444446,0.02407407407407407,0.04270736971939562,0.975925925925926
6,Video_Replay_Attack,AfterSplit,GenAugSpoofOnly,0.1,89.83333333333333,86.16666666666667,3.8333333333333335,0.16666666666666666,0.001851851851851852,0.04259259259259259,0.022222222222222223,0.04091359719362465,0.9777777777777779
6,Video_Replay_Attack,AfterSplit,GenAugSpoofOnly,0.2,90.0,86.0,4.0,0.0,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,0.9777777777777779
6,Video_Replay_Attack,AfterSplit,GenAugSpoofOnly,0.3,89.5,86.16666666666667,3.8333333333333335,0.5,0.005555555555555556,0.04259259259259259,0.024074074074074078,0.0410661175932281,0.975925925925926
6,Video_Replay_Attack,AfterSplit,GenAugSpoofOnly_KF,0.05,89.83333333333333,86.16666666666667,3.8333333333333335,0.16666666666666666,0.001851851851851852,0.04259259259259259,0.022222222222222223,0.04091359719362465,0.9777777777777779
6,Video_Replay_Attack,AfterSplit,GenAugSpoofOnly_KF,0.1,90.0,86.0,4.0,0.0,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,0.9777777777777779
6,Video_Replay_Attack,AfterSplit,GenAugSpoofOnly_KF,0.2,89.83333333333333,86.16666666666667,3.8333333333333335,0.16666666666666666,0.001851851851851852,0.04259259259259259,0.022222222222222223,0.04091359719362465,0.9777777777777779
6,Video_Replay_Attack,AfterSplit,GenAugSpoofOnly_KF,0.3,90.0,86.0,4.0,0.0,0.0,0.044444444444444446,0.022222222222222223,0.0425531914893617,0.9777777777777779
6,Video_Replay_Attack,AfterSplit,TradAugSpoofOnly,0.05,90.0,86.16666666666667,3.8333333333333335,0.0,0.0,0.04259259259259259,0.021296296296296296,0.04083733699382292,0.9787037037037037
6,Video_Replay_Attack,AfterSplit,TradAugSpoofOnly,0.1,89.83333333333333,86.16666666666667,3.8333333333333335,0.16666666666666666,0.001851851851851852,0.04259259259259259,0.022222222222222223,0.04091359719362465,0.9777777777777779
6,Video_Replay_Attack,AfterSplit,TradAugSpoofOnly,0.2,89.5,86.83333333333333,3.1666666666666665,0.5,0.005555555555555556,0.03518518518518519,0.020370370370370372,0.034167056256817825,0.9796296296296297
6,Video_Replay_Attack,AfterSplit,TradAugSpoofOnly,0.3,89.5,87.0,3.0,0.5,0.005555555555555556,0.03333333333333333,0.019444444444444445,0.03243338008415147,0.9805555555555556
