protocol_number,protocol,when_aug_performed,aug_type,config/HP_AUG_PER,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,config/HP_REPEAT,fold_number
2,LOO_IPP2017,BeforeSplit,TradAugSpoofOnly,0.3,1582.6666666666667,9241.166666666666,140.83333333333334,154.33333333333334,0.08885050853962766,0.015011013998436665,0.05193076126903215,0.08260974892753228,0.9480692387309677,1.5,1.0
2,LOO_SGS8,BeforeSplit,TradAugSpoofOnly,0.05,900.0,8699.666666666666,682.3333333333334,0.0,0.0,0.07272791870958571,0.03636395935479283,0.0661401792545437,0.963636040645207,1.5,1.0
2,LOO_SGS8,BeforeSplit,TradAugSpoofOnly,0.1,900.0,9050.0,332.0,0.0,0.0,0.035386911106373854,0.017693455553186917,0.03380288033690273,0.982306544446813,1.5,1.0
2,LOO_SGS8,BeforeSplit,TradAugSpoofOnly,0.2,900.0,8654.5,727.5,0.0,0.0,0.07754210189725001,0.03877105094862498,0.07123858577513964,0.9612289490513749,1.5,1.0
2,LOO_SGS8,BeforeSplit,TradAugSpoofOnly,0.3,900.0,8574.5,807.5,0.0,0.0,0.08606906842890637,0.043034534214453135,0.07879234925020018,0.9569654657855468,1.5,1.0
3,UnKnown_P,BeforeSplit,TradAugSpoofOnly,0.05,2149.3333333333335,9079.666666666666,302.3333333333333,51.666666666666664,0.02347417840375582,0.03222482768421795,0.027849503043986885,0.04557064659157097,0.972150496956013,1.5,1.0
3,UnKnown_P,BeforeSplit,TradAugSpoofOnly,0.1,2151.0,9238.333333333334,143.66666666666666,50.0,0.02271694684234435,0.015313010729766166,0.019014978786055233,0.0316522051874788,0.9809850212139447,1.5,1.0
3,UnKnown_P,BeforeSplit,TradAugSpoofOnly,0.2,2183.1666666666665,9060.333333333334,321.6666666666667,17.833333333333332,0.008102377707102768,0.03428551126270158,0.021193944484902184,0.034208901669640836,0.9788060555150978,1.5,1.0
3,UnKnown_P,BeforeSplit,TradAugSpoofOnly,0.3,2172.3333333333335,9205.5,176.5,28.666666666666668,0.013024382856277416,0.0188126199104668,0.0159185013833721,0.0235107269309618,0.9840814986166277,1.5,1.0
3,UnKnown_R,BeforeSplit,TradAugSpoofOnly,0.05,4068.6666666666665,9366.833333333334,15.166666666666666,1696.3333333333333,0.29424689216536565,0.0016165707382931333,0.14793173145182942,0.2272915419199936,0.8520682685481705,1.5,1.0
3,UnKnown_R,BeforeSplit,TradAugSpoofOnly,0.1,4048.3333333333335,9360.166666666666,21.833333333333332,1716.6666666666667,0.29777392309916156,0.002327151282597833,0.1500505371908797,0.22913451003299137,0.8499494628091201,1.5,1.0
3,UnKnown_R,BeforeSplit,TradAugSpoofOnly,0.2,4065.3333333333335,9364.333333333334,17.666666666666668,1699.6666666666667,0.2948250939577913,0.0018830384424073667,0.1483540662000993,0.227787281237779,0.8516459337999006,1.5,1.0
3,UnKnown_R,BeforeSplit,TradAugSpoofOnly,0.3,4101.5,9363.666666666666,18.333333333333332,1663.5,0.2885516045099739,0.0019540964968378666,0.14525285050340594,0.22378493501226113,0.854747149496594,1.5,1.0
