protocol_number,protocol,config/HP_AUG_PER,aug_type,when_aug_performed,TP,TN,FP,FN,APCER,BPCER,ACER,EER,AUC,Multi_TP,Multi_TN,Multi_FP,Multi_FN,Multi_APCER,Multi_BPCER,Multi_ACER,Multi_EER,Multi_AUC,config/HP_REPEAT,fold_number
2,LOO_IP7P,0.3,GenAugSpoofOnly,BeforeSplit,1771.4166666666665,9216.0,166.0,0.5833333333333333,0.0003291948833709083,0.0176934555531869,0.009011325218278899,0.017360148264043883,0.990988674781721,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IP7P,0.3,TradAugSpoofOnly,AfterSplit,1770.8333333333333,8921.5,460.5,1.1666666666666667,0.0006583897667418333,0.0490833510978469,0.024870870432294384,0.04646999878142107,0.9751291295677055,,,,,,,,,,1.5,1.0
2,LOO_IP7P,0.3,TradAugSpoofOnly,BeforeSplit,1771.1666666666667,8866.333333333334,515.6666666666666,0.8333333333333334,0.0004702784048156,0.05496340510196827,0.027716841753391914,0.050800727561839266,0.9722831582466079,,,,,,,,,,1.5,1.0
2,LOO_IPP2017,0.0,Baseline,None,1564.8333333333333,9283.166666666666,98.83333333333333,172.16666666666666,0.09911725196699285,0.010534356569317083,0.05482580426815497,0.09097112586925772,0.945174195731845,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,0.05,GenAugSpoofOnly,AfterSplit,1504.3333333333333,9267.666666666666,114.33333333333334,232.66666666666669,0.13394741892151213,0.012186456334825508,0.07306693762816883,0.11591823479031421,0.9269330623718313,3.916666666666667,8.0,0.0,0.08333333333333333,0.020833333333333332,0.0,0.010416666666666666,0.016666666666666666,0.9895833333333333,1.5,1.0
2,LOO_IPP2017,0.05,GenAugSpoofOnly,BeforeSplit,1497.9166666666665,9313.666666666666,68.33333333333333,239.08333333333334,0.13764152753790057,0.0072834505791231,0.07246248905851183,0.1149506231743139,0.9275375109414881,3.833333333333333,8.0,0.0,0.16666666666666666,0.041666666666666664,0.0,0.020833333333333332,0.027777777777777776,0.9791666666666667,1.5,1.0
2,LOO_IPP2017,0.05,TradAugSpoofOnly,AfterSplit,1558.0,9328.333333333334,53.666666666666664,179.0,0.10305123776626361,0.005720173381652767,0.0543857055739582,0.09375433732245253,0.9456142944260417,,,,,,,,,,1.5,1.0
2,LOO_IPP2017,0.05,TradAugSpoofOnly,BeforeSplit,1502.3333333333333,9362.5,19.5,234.66666666666666,0.13509882939934748,0.0020784480920912,0.06858863874571935,0.11804714603843099,0.9314113612542806,,,,,,,,,,1.5,1.0
2,LOO_IPP2017,0.1,GenAugSpoofOnly,AfterSplit,1559.3333333333335,9316.583333333334,65.41666666666667,177.66666666666669,0.10228363078104008,0.006972571590989791,0.054628101186014924,0.09318442092362694,0.945371898813985,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,0.1,GenAugSpoofOnly,BeforeSplit,1513.8333333333333,9306.333333333332,75.66666666666667,223.16666666666666,0.12847821915179425,0.008065089177858276,0.06827165416482625,0.11170289514389864,0.9317283458351737,3.916666666666667,8.0,0.0,0.08333333333333333,0.020833333333333332,0.0,0.010416666666666666,0.016666666666666666,0.9895833333333333,1.5,1.0
2,LOO_IPP2017,0.1,TradAugSpoofOnly,AfterSplit,1561.1666666666667,9313.833333333334,68.16666666666667,175.83333333333334,0.10122817117635767,0.007265686065515483,0.05424692862093659,0.09236456668710573,0.9457530713790634,,,,,,,,,,1.5,1.0
2,LOO_IPP2017,0.1,TradAugSpoofOnly,BeforeSplit,1553.3333333333333,9347.166666666666,34.833333333333336,183.66666666666666,0.10573786221454608,0.003712783343992,0.054725322779269066,0.0958357727497044,0.9452746772207309,,,,,,,,,,1.5,1.0
2,LOO_IPP2017,0.2,GenAugSpoofOnly,AfterSplit,1538.0,9314.083333333332,67.91666666666667,199.0,0.11456534254461712,0.007239039295104051,0.06090219091986057,0.103226838341131,0.9390978090801394,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,0.2,GenAugSpoofOnly,BeforeSplit,1542.25,9256.583333333332,125.41666666666666,194.75,0.112118595279217,0.013367796489732067,0.06274319588447454,0.10149507100384768,0.9372568041155255,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,0.2,TradAugSpoofOnly,AfterSplit,1579.3333333333333,9120.0,262.0,157.66666666666666,0.0907695260026866,0.027925815391174547,0.05934767069693053,0.09488507622184382,0.9406523293030693,,,,,,,,,,1.5,1.0
2,LOO_IPP2017,0.2,TradAugSpoofOnly,BeforeSplit,1593.0,8875.833333333334,506.1666666666667,144.0,0.08290155440414505,0.0539508278263341,0.06842619111523955,0.104484321833811,0.9315738088847604,,,,,,,,,,1.5,1.0
2,LOO_IPP2017,0.3,GenAugSpoofOnly,AfterSplit,1554.3333333333333,9281.916666666666,100.08333333333334,182.66666666666666,0.10516215697562845,0.010667590421374218,0.057914873698501325,0.09570040201174279,0.9420851263014987,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,0.3,GenAugSpoofOnly,BeforeSplit,1535.25,9315.25,66.75,201.75,0.11614853195164071,0.007114687699850717,0.061631609825745726,0.10457949449159659,0.9383683901742541,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,1.0
2,LOO_IPP2017,0.3,TradAugSpoofOnly,AfterSplit,1559.3333333333333,9287.0,95.0,177.66666666666666,0.10228363078104007,0.010125772756341881,0.05620470176869097,0.09336856483164853,0.943795298231309,,,,,,,,,,1.5,1.0
